,ID,AGE,Ethnicity,Married,Family Size,Education1,Education2,Income,Language,Education,Coffee,Hot Tea,Iced Tea,Egg Salad,Pickles,Corned Beef
2161,33288.0,2.0,1,0,5,0,0,77,1,0,1.0,1.0,1.0,1.0,1.0,8.0
2163,33290.0,85.0,3,1,2,0,1,6,1,1,1.0,1.0,1.0,1.0,3.0,2.0
2164,33291.0,79.0,3,1,2,0,5,4,1,5,1.0,1.0,88.0,1.0,6.0,2.0
2165,33292.0,4.0,5,0,4,0,0,2,1,0,1.0,1.0,1.0,1.0,2.0,1.0
2167,33294.0,60.0,4,2,3,0,5,7,1,5,4.0,1.0,1.0,4.0,2.0,1.0
2168,33295.0,10.0,1,0,3,3,0,11,1,3,1.0,1.0,1.0,1.0,4.0,4.0
2173,33300.0,48.0,1,1,4,0,2,6,1,2,5.0,7.0,1.0,5.0,6.0,1.0
2175,33302.0,56.0,3,6,2,0,4,8,1,4,3.0,3.0,3.0,3.0,2.0,2.0
2176,33303.0,17.0,3,5,6,10,0,77,1,10,88.0,88.0,88.0,88.0,3.0,2.0
2178,33305.0,19.0,4,5,5,15,0,7,1,15,1.0,4.0,5.0,1.0,2.0,3.0
2179,33306.0,12.0,2,0,3,5,0,4,2,5,1.0,1.0,1.0,1.0,1.0,1.0
2180,33307.0,51.0,4,3,1,0,3,1,1,3,2.0,3.0,5.0,2.0,2.0,2.0
2182,33309.0,28.0,4,1,3,0,4,7,1,4,1.0,5.0,1.0,1.0,2.0,7.0
2184,33311.0,19.0,3,5,7,13,0,5,1,13,4.0,4.0,5.0,4.0,8.0,3.0
2186,33313.0,3.0,4,0,6,0,0,6,1,0,1.0,1.0,1.0,1.0,7.0,1.0
2188,33315.0,12.0,1,0,5,6,0,5,2,6,6.0,1.0,1.0,6.0,10.0,1.0
2189,33316.0,74.0,3,1,3,0,3,5,1,3,8.0,1.0,1.0,8.0,1.0,6.0
2190,33317.0,28.0,3,1,4,0,5,11,1,5,1.0,1.0,1.0,1.0,4.0,1.0
2191,33318.0,3.0,3,0,4,0,0,10,1,0,1.0,1.0,1.0,1.0,1.0,1.0
2193,33320.0,85.0,4,2,1,0,2,3,1,2,7.0,2.0,6.0,7.0,2.0,10.0
2194,33321.0,63.0,3,1,2,0,4,8,1,4,7.0,1.0,4.0,7.0,5.0,4.0
2197,33324.0,70.0,1,4,1,0,1,0,2,1,8.0,1.0,1.0,8.0,1.0,1.0
2201,33328.0,52.0,4,5,2,0,3,4,1,3,1.0,1.0,6.0,1.0,1.0,10.0
2203,33330.0,35.0,3,1,7,0,3,6,1,3,8.0,1.0,3.0,8.0,2.0,3.0
2204,33331.0,56.0,4,3,1,0,2,2,1,2,1.0,3.0,3.0,1.0,2.0,5.0
2205,33332.0,14.0,3,5,4,8,0,11,1,8,1.0,1.0,2.0,1.0,6.0,2.0
2206,33333.0,4.0,1,0,6,0,0,5,2,0,1.0,1.0,1.0,1.0,1.0,1.0
2211,33338.0,85.0,3,1,2,0,4,6,1,4,8.0,5.0,3.0,8.0,2.0,2.0
2212,33339.0,4.0,3,0,4,0,0,5,1,0,1.0,1.0,1.0,1.0,1.0,1.0
2214,33341.0,5.0,4,0,7,0,0,1,1,0,1.0,7.0,7.0,1.0,1.0,1.0
2217,33344.0,27.0,4,5,5,0,3,11,1,3,1.0,1.0,1.0,1.0,2.0,4.0
2218,33345.0,46.0,3,3,1,0,5,3,1,5,3.0,7.0,5.0,3.0,7.0,1.0
2219,33346.0,72.0,1,2,2,0,3,6,1,3,7.0,5.0,5.0,7.0,3.0,8.0
2223,33350.0,2.0,4,0,5,0,0,6,1,0,1.0,3.0,3.0,1.0,5.0,5.0
2224,33351.0,16.0,1,5,7,9,0,5,1,9,1.0,1.0,1.0,1.0,10.0,5.0
2228,33355.0,14.0,4,5,4,8,0,11,1,8,1.0,1.0,1.0,1.0,8.0,4.0
2229,33356.0,70.0,1,1,2,0,3,7,1,3,8.0,5.0,3.0,8.0,2.0,1.0
2230,33357.0,45.0,1,6,1,0,4,8,1,4,2.0,8.0,2.0,2.0,88.0,3.0
2231,33358.0,29.0,1,1,5,0,2,9,2,2,4.0,1.0,1.0,4.0,2.0,1.0
2232,33359.0,23.0,1,1,4,0,2,7,2,2,7.0,1.0,1.0,7.0,1.0,1.0
2235,33362.0,56.0,3,1,2,0,3,9,1,3,8.0,2.0,2.0,8.0,3.0,1.0
2236,33363.0,57.0,3,1,2,0,5,11,1,5,8.0,4.0,2.0,8.0,2.0,2.0
2237,33364.0,48.0,1,1,4,0,1,11,1,1,8.0,3.0,3.0,8.0,6.0,2.0
2238,33365.0,59.0,1,3,6,0,1,5,2,1,7.0,1.0,1.0,7.0,1.0,1.0
2239,33366.0,17.0,3,5,4,11,0,11,1,11,2.0,1.0,3.0,2.0,1.0,1.0
2240,33367.0,14.0,3,5,5,8,0,9,1,8,1.0,1.0,7.0,1.0,5.0,3.0
2241,33368.0,13.0,1,0,4,7,0,8,1,7,1.0,3.0,3.0,1.0,4.0,4.0
2244,33371.0,21.0,2,1,5,0,2,6,1,2,5.0,1.0,3.0,5.0,1.0,5.0
2248,33375.0,31.0,3,1,3,0,5,9,1,5,1.0,1.0,1.0,1.0,1.0,1.0
2249,33376.0,23.0,3,1,2,0,4,8,1,4,2.0,1.0,3.0,2.0,7.0,4.0
2251,33378.0,3.0,3,0,6,0,0,2,1,0,1.0,1.0,1.0,1.0,1.0,1.0
2252,33379.0,24.0,1,6,3,0,1,5,2,1,8.0,1.0,1.0,8.0,2.0,5.0
2256,33383.0,67.0,2,1,2,0,2,4,1,2,8.0,4.0,3.0,8.0,6.0,5.0
2257,33384.0,19.0,4,5,3,15,0,8,1,15,1.0,5.0,3.0,1.0,5.0,8.0
2258,33385.0,64.0,3,1,2,0,5,6,1,5,7.0,8.0,8.0,7.0,1.0,1.0
2259,33386.0,8.0,4,0,6,0,0,2,1,0,1.0,1.0,1.0,1.0,4.0,7.0
2260,33387.0,50.0,3,1,6,0,3,11,1,3,1.0,1.0,1.0,1.0,2.0,5.0
2263,33390.0,46.0,4,5,4,0,3,10,1,3,1.0,7.0,5.0,1.0,2.0,3.0
2264,33391.0,6.0,3,0,4,0,0,5,1,0,1.0,1.0,1.0,1.0,7.0,4.0
2266,33393.0,7.0,4,0,2,1,0,2,1,1,1.0,1.0,1.0,1.0,7.0,6.0
2267,33394.0,6.0,4,0,3,1,0,5,1,1,1.0,2.0,1.0,1.0,1.0,6.0
2268,33395.0,9.0,4,0,4,1,0,3,1,1,1.0,2.0,2.0,1.0,5.0,2.0
2269,33396.0,7.0,1,0,6,1,0,5,2,1,1.0,1.0,1.0,1.0,4.0,5.0
2273,33400.0,62.0,3,1,3,0,4,8,1,4,88.0,5.0,9.0,88.0,9.0,88.0
2275,33402.0,15.0,3,5,4,9,0,9,1,9,1.0,1.0,1.0,1.0,3.0,3.0
2276,33403.0,10.0,1,0,3,4,0,3,2,4,1.0,1.0,8.0,1.0,1.0,4.0
2277,33404.0,17.0,3,5,3,11,0,11,1,11,3.0,1.0,6.0,3.0,5.0,6.0
2278,33405.0,3.0,1,0,4,0,0,1,1,0,1.0,1.0,1.0,1.0,6.0,7.0
2279,33406.0,53.0,3,5,2,0,4,11,1,4,8.0,4.0,5.0,8.0,5.0,5.0
2282,33409.0,21.0,1,5,4,0,2,4,1,2,3.0,7.0,4.0,3.0,3.0,2.0
2284,33411.0,12.0,1,0,4,6,0,6,2,6,1.0,1.0,5.0,1.0,2.0,1.0
2285,33412.0,29.0,1,6,6,0,2,3,2,2,2.0,7.0,5.0,2.0,4.0,6.0
2288,33415.0,14.0,4,5,4,8,0,3,1,8,1.0,1.0,1.0,1.0,1.0,2.0
2289,33416.0,70.0,3,1,2,0,1,5,1,1,1.0,1.0,8.0,1.0,2.0,2.0
2290,33417.0,3.0,5,0,5,0,0,11,1,0,1.0,1.0,1.0,1.0,8.0,1.0
2292,33419.0,70.0,1,1,5,0,1,99,2,1,4.0,4.0,1.0,4.0,6.0,4.0
2293,33420.0,74.0,3,1,2,0,5,5,1,5,7.0,3.0,1.0,7.0,1.0,1.0
2294,33421.0,5.0,1,0,4,0,0,11,1,0,1.0,2.0,3.0,1.0,5.0,3.0
2296,33423.0,17.0,1,5,4,11,0,5,1,11,3.0,3.0,1.0,3.0,7.0,1.0
2299,33426.0,43.0,3,1,4,0,4,6,1,4,9.0,1.0,4.0,9.0,2.0,2.0
2301,33428.0,62.0,3,1,2,0,1,6,1,1,10.0,1.0,1.0,10.0,1.0,8.0
2303,33430.0,42.0,4,3,3,0,5,10,1,5,6.0,2.0,1.0,6.0,3.0,2.0
2305,33432.0,15.0,1,5,5,9,0,4,2,9,8.0,1.0,1.0,8.0,3.0,1.0
2306,33433.0,4.0,1,0,4,0,0,5,2,0,1.0,1.0,1.0,1.0,1.0,1.0
2307,33434.0,8.0,4,0,7,1,0,7,1,1,1.0,1.0,1.0,1.0,1.0,1.0
2310,33437.0,41.0,5,1,5,0,4,5,1,4,10.0,1.0,1.0,10.0,2.0,1.0
2311,33438.0,7.0,1,0,4,1,0,9,1,1,1.0,1.0,1.0,1.0,1.0,5.0
2312,33439.0,7.0,1,0,7,1,0,6,2,1,88.0,88.0,88.0,88.0,1.0,1.0
2313,33440.0,4.0,1,0,5,0,0,6,2,0,1.0,1.0,1.0,1.0,1.0,1.0
2314,33441.0,26.0,3,1,2,0,5,11,1,5,7.0,7.0,2.0,7.0,6.0,3.0
2315,33442.0,16.0,1,5,4,10,0,6,1,10,1.0,1.0,1.0,1.0,4.0,1.0
2317,33444.0,12.0,4,0,5,6,0,10,1,6,1.0,1.0,1.0,1.0,1.0,1.0
2320,33447.0,28.0,1,1,5,0,3,7,2,3,2.0,1.0,1.0,2.0,6.0,3.0
2321,33448.0,13.0,4,0,2,6,0,6,1,6,1.0,1.0,7.0,1.0,10.0,1.0
2323,33450.0,64.0,3,1,4,0,3,11,1,3,6.0,1.0,6.0,6.0,3.0,5.0
2324,33451.0,47.0,4,4,3,0,4,4,1,4,3.0,7.0,3.0,3.0,2.0,3.0
2325,33452.0,59.0,3,1,2,0,4,10,1,4,8.0,1.0,3.0,8.0,2.0,6.0
2326,33453.0,6.0,1,0,7,0,0,7,1,0,1.0,1.0,1.0,1.0,5.0,5.0
2327,33454.0,84.0,4,1,2,0,2,3,1,2,7.0,1.0,1.0,7.0,4.0,2.0
2328,33455.0,8.0,4,0,4,1,0,3,1,1,1.0,3.0,2.0,1.0,1.0,5.0
2329,33456.0,3.0,1,0,3,0,0,3,1,0,1.0,1.0,2.0,1.0,8.0,4.0
2330,33457.0,62.0,1,1,7,0,1,12,2,1,2.0,88.0,88.0,2.0,6.0,1.0
2336,33463.0,5.0,3,0,3,0,0,11,1,0,1.0,4.0,1.0,1.0,6.0,1.0
2337,33464.0,46.0,1,1,3,0,2,5,2,2,2.0,2.0,2.0,2.0,1.0,1.0
2338,33465.0,12.0,1,0,4,6,0,9,1,6,1.0,1.0,1.0,1.0,4.0,6.0
2339,33466.0,16.0,3,5,6,10,0,11,1,10,6.0,1.0,1.0,6.0,5.0,1.0
2340,33467.0,60.0,3,1,3,0,3,9,1,3,8.0,2.0,1.0,8.0,5.0,1.0
2341,33468.0,22.0,3,6,1,0,3,12,1,3,1.0,1.0,1.0,1.0,1.0,1.0
2342,33469.0,46.0,3,1,4,0,4,11,1,4,8.0,4.0,3.0,8.0,1.0,1.0
2343,33470.0,12.0,3,0,4,6,0,7,1,6,3.0,88.0,3.0,3.0,3.0,1.0
2344,33471.0,18.0,3,5,2,13,0,7,1,13,2.0,4.0,3.0,2.0,2.0,3.0
2349,33476.0,49.0,3,1,6,0,5,11,1,5,8.0,2.0,8.0,8.0,4.0,4.0
2350,33477.0,29.0,4,5,1,0,4,9,1,4,1.0,3.0,3.0,1.0,2.0,2.0
2351,33478.0,70.0,3,1,2,0,5,11,1,5,8.0,4.0,1.0,8.0,2.0,2.0
2357,33484.0,16.0,3,5,4,10,0,11,1,10,1.0,1.0,1.0,1.0,5.0,1.0
2358,33485.0,44.0,1,1,4,0,1,7,2,1,3.0,2.0,2.0,3.0,1.0,7.0
2360,33487.0,39.0,3,1,5,0,3,3,1,3,8.0,1.0,4.0,8.0,7.0,1.0
2361,33488.0,13.0,3,0,6,7,0,5,1,7,4.0,1.0,1.0,4.0,1.0,1.0
2362,33489.0,32.0,3,6,1,0,5,11,1,5,6.0,3.0,3.0,6.0,4.0,3.0
2364,33491.0,9.0,3,0,5,3,0,11,1,3,88.0,1.0,1.0,88.0,88.0,5.0
2367,33494.0,11.0,4,0,5,5,0,4,1,5,1.0,1.0,88.0,1.0,5.0,3.0
2369,33496.0,50.0,3,1,4,0,5,11,1,5,8.0,2.0,7.0,8.0,5.0,2.0
2370,33497.0,11.0,1,0,4,5,0,8,1,5,1.0,5.0,6.0,1.0,8.0,1.0
2374,33501.0,18.0,1,5,6,13,0,5,2,13,1.0,3.0,3.0,1.0,1.0,1.0
2376,33503.0,16.0,3,5,7,10,0,7,1,10,1.0,1.0,1.0,1.0,2.0,1.0
2377,33504.0,17.0,1,5,4,12,0,5,1,12,5.0,5.0,1.0,5.0,4.0,88.0
2381,33508.0,16.0,2,5,4,10,0,11,1,10,1.0,1.0,2.0,1.0,5.0,3.0
2383,33510.0,6.0,2,0,4,0,0,4,2,0,2.0,1.0,1.0,2.0,1.0,1.0
2385,33512.0,17.0,1,5,5,10,0,5,1,10,4.0,1.0,1.0,4.0,1.0,1.0
2387,33514.0,9.0,3,0,3,3,0,9,1,3,2.0,3.0,3.0,2.0,5.0,1.0
2389,33516.0,7.0,3,0,6,1,0,11,1,1,1.0,1.0,1.0,1.0,4.0,7.0
2390,33517.0,71.0,1,3,1,0,1,4,1,1,8.0,8.0,1.0,8.0,1.0,1.0
2391,33518.0,20.0,3,5,5,0,3,7,1,3,1.0,2.0,7.0,1.0,3.0,3.0
2393,33520.0,74.0,3,1,2,0,5,6,1,5,7.0,3.0,6.0,7.0,6.0,2.0
2397,33524.0,15.0,1,5,4,9,0,8,1,9,1.0,1.0,1.0,1.0,2.0,6.0
2399,33526.0,9.0,3,0,5,2,0,10,1,2,1.0,1.0,1.0,1.0,5.0,5.0
2402,33529.0,30.0,3,3,5,0,2,7,1,2,8.0,3.0,2.0,8.0,7.0,5.0
2403,33530.0,56.0,3,1,2,0,3,9,1,3,8.0,5.0,5.0,8.0,4.0,3.0
2404,33531.0,82.0,3,1,2,0,4,7,1,4,8.0,1.0,1.0,8.0,6.0,2.0
2405,33532.0,38.0,4,1,5,0,4,9,1,4,7.0,6.0,3.0,7.0,2.0,2.0
2407,33534.0,78.0,3,1,2,0,1,4,1,1,1.0,1.0,1.0,1.0,6.0,6.0
2408,33535.0,17.0,4,5,3,10,0,7,1,10,1.0,1.0,3.0,1.0,2.0,5.0
2410,33537.0,4.0,3,0,7,0,0,11,1,0,1.0,1.0,1.0,1.0,6.0,5.0
2412,33539.0,17.0,4,5,3,11,0,9,1,11,4.0,1.0,1.0,4.0,1.0,7.0
2413,33540.0,13.0,3,0,4,7,0,11,1,7,1.0,1.0,1.0,1.0,2.0,1.0
2414,33541.0,28.0,3,1,2,0,5,11,1,5,6.0,3.0,3.0,6.0,9.0,4.0
2415,33542.0,15.0,1,5,5,9,0,6,1,9,1.0,1.0,3.0,1.0,1.0,1.0
2416,33543.0,76.0,3,1,2,0,3,8,1,3,8.0,1.0,1.0,8.0,7.0,1.0
2417,33544.0,38.0,3,1,3,0,5,11,1,5,8.0,4.0,2.0,8.0,5.0,5.0
2418,33545.0,18.0,1,5,7,11,0,6,1,11,2.0,1.0,1.0,2.0,5.0,7.0
2419,33546.0,29.0,1,6,4,0,2,11,1,2,3.0,2.0,3.0,3.0,2.0,6.0
2421,33548.0,6.0,5,0,6,0,0,3,1,0,1.0,1.0,7.0,1.0,8.0,4.0
2423,33550.0,14.0,1,5,4,7,0,11,1,7,4.0,1.0,1.0,4.0,8.0,11.0
2424,33551.0,76.0,3,1,2,0,5,12,1,5,7.0,3.0,6.0,7.0,6.0,6.0
2426,33553.0,14.0,4,5,3,9,0,6,1,9,2.0,3.0,3.0,2.0,1.0,1.0
2427,33554.0,39.0,4,6,5,0,3,9,1,3,3.0,2.0,2.0,3.0,8.0,7.0
2428,33555.0,3.0,1,0,6,0,0,6,2,0,1.0,1.0,1.0,1.0,1.0,1.0
2429,33556.0,14.0,3,5,4,7,0,8,1,7,3.0,2.0,1.0,3.0,3.0,3.0
2430,33557.0,16.0,3,5,6,10,0,10,1,10,1.0,2.0,1.0,1.0,1.0,1.0
2432,33559.0,24.0,4,5,2,0,4,4,1,4,2.0,2.0,2.0,2.0,1.0,1.0
2433,33560.0,12.0,2,0,3,5,0,10,1,5,1.0,1.0,1.0,1.0,1.0,3.0
2434,33561.0,83.0,3,2,1,0,3,3,1,3,7.0,1.0,2.0,7.0,2.0,4.0
2435,33562.0,48.0,5,1,5,0,5,11,1,5,8.0,8.0,2.0,8.0,99.0,1.0
2436,33563.0,54.0,3,1,3,0,3,8,1,3,1.0,3.0,8.0,1.0,5.0,3.0
2438,33565.0,57.0,3,1,2,0,3,4,1,3,7.0,1.0,7.0,7.0,1.0,1.0
2439,33566.0,82.0,3,2,1,0,2,3,1,2,3.0,3.0,3.0,3.0,1.0,1.0
2442,33569.0,79.0,3,1,2,0,3,6,1,3,9.0,1.0,1.0,9.0,3.0,1.0
2443,33570.0,44.0,4,3,4,0,3,11,1,3,5.0,3.0,2.0,5.0,2.0,2.0
2445,33572.0,3.0,1,0,3,0,0,13,2,0,1.0,1.0,4.0,1.0,6.0,6.0
2447,33574.0,24.0,3,1,3,0,2,6,1,2,1.0,1.0,8.0,1.0,8.0,7.0
2448,33575.0,13.0,3,0,5,6,0,11,1,6,1.0,1.0,3.0,1.0,5.0,1.0
2449,33576.0,68.0,3,1,2,0,3,7,1,3,7.0,3.0,3.0,7.0,2.0,2.0
2450,33577.0,55.0,3,3,1,0,4,2,1,4,1.0,7.0,88.0,1.0,10.0,2.0
2451,33578.0,13.0,3,0,3,6,0,11,1,6,2.0,1.0,1.0,2.0,1.0,1.0
2457,33584.0,14.0,4,5,5,8,0,7,1,8,1.0,2.0,3.0,1.0,1.0,2.0
2460,33587.0,45.0,3,1,5,0,4,11,1,4,7.0,1.0,1.0,7.0,2.0,4.0
2463,33590.0,12.0,3,0,4,6,0,10,1,6,1.0,1.0,1.0,1.0,1.0,88.0
2464,33591.0,65.0,1,3,1,0,5,5,1,5,1.0,8.0,2.0,1.0,2.0,2.0
2465,33592.0,62.0,4,1,2,0,3,11,1,3,1.0,6.0,1.0,1.0,4.0,2.0
2468,33595.0,18.0,3,6,3,15,0,10,1,15,8.0,3.0,8.0,8.0,3.0,1.0
2469,33596.0,32.0,4,6,5,0,1,3,1,1,7.0,7.0,8.0,7.0,4.0,7.0
2476,33603.0,2.0,3,0,4,0,0,4,1,0,1.0,1.0,1.0,1.0,1.0,6.0
2477,33604.0,59.0,3,1,2,0,2,6,1,2,9.0,1.0,8.0,9.0,6.0,7.0
2478,33605.0,68.0,3,2,1,0,4,3,1,4,1.0,1.0,1.0,1.0,7.0,1.0
2479,33606.0,31.0,4,1,5,0,3,7,1,3,1.0,1.0,1.0,1.0,2.0,10.0
2480,33607.0,27.0,3,1,2,0,4,6,1,4,1.0,1.0,1.0,1.0,1.0,5.0
2481,33608.0,39.0,3,3,1,0,5,10,1,5,1.0,2.0,1.0,1.0,10.0,4.0
2483,33610.0,17.0,3,5,5,10,0,5,1,10,7.0,1.0,1.0,7.0,7.0,1.0
2484,33611.0,9.0,5,0,7,2,0,7,1,2,1.0,1.0,1.0,1.0,11.0,11.0
2485,33612.0,35.0,3,1,4,0,5,11,1,5,9.0,1.0,6.0,9.0,2.0,3.0
2487,33614.0,65.0,3,1,2,0,3,8,1,3,7.0,1.0,1.0,7.0,4.0,2.0
2488,33615.0,10.0,4,0,4,4,0,11,1,4,2.0,5.0,4.0,2.0,2.0,6.0
2492,33619.0,12.0,2,0,4,5,0,5,1,5,1.0,1.0,1.0,1.0,1.0,8.0
2494,33621.0,63.0,3,1,2,0,5,9,1,5,8.0,2.0,5.0,8.0,5.0,5.0
2495,33622.0,5.0,3,0,7,0,0,11,1,0,1.0,1.0,2.0,1.0,1.0,5.0
2500,33627.0,46.0,3,3,1,0,5,8,1,5,7.0,7.0,7.0,7.0,7.0,5.0
2501,33628.0,3.0,3,0,2,0,0,3,1,0,1.0,3.0,2.0,1.0,4.0,2.0
2502,33629.0,34.0,3,1,4,0,3,10,1,3,8.0,1.0,5.0,8.0,5.0,4.0
2503,33630.0,36.0,4,3,3,0,2,2,1,2,5.0,3.0,5.0,5.0,1.0,2.0
2505,33632.0,26.0,2,1,7,0,2,4,2,2,5.0,1.0,1.0,5.0,5.0,1.0
2508,33635.0,44.0,3,1,2,0,3,10,1,3,10.0,1.0,6.0,10.0,4.0,3.0
2509,33636.0,2.0,1,0,4,0,0,2,2,0,1.0,1.0,1.0,1.0,1.0,6.0
2512,33639.0,16.0,4,5,4,10,0,3,1,10,3.0,2.0,3.0,3.0,2.0,1.0
2514,33641.0,17.0,4,5,5,10,0,2,1,10,1.0,1.0,1.0,1.0,2.0,5.0
2515,33642.0,77.0,3,1,2,0,4,8,1,4,8.0,1.0,1.0,8.0,3.0,3.0
2518,33645.0,25.0,1,1,3,0,4,10,1,4,7.0,2.0,7.0,7.0,9.0,3.0
2519,33646.0,63.0,3,1,3,0,4,10,1,4,8.0,1.0,8.0,8.0,2.0,1.0
2520,33647.0,35.0,4,1,5,0,5,9,1,5,1.0,1.0,4.0,1.0,5.0,1.0
2521,33648.0,17.0,3,5,2,11,0,7,1,11,1.0,1.0,3.0,1.0,3.0,1.0
2522,33649.0,85.0,3,2,1,0,3,13,1,3,8.0,2.0,4.0,8.0,7.0,5.0
2525,33652.0,32.0,4,1,5,0,3,8,1,3,4.0,2.0,2.0,4.0,4.0,2.0
2526,33653.0,12.0,4,0,3,7,0,10,1,7,3.0,1.0,3.0,3.0,2.0,3.0
2527,33654.0,4.0,1,0,7,0,0,3,2,0,1.0,1.0,1.0,1.0,6.0,9.0
2529,33656.0,10.0,1,0,7,3,0,99,1,3,1.0,1.0,7.0,1.0,5.0,1.0
2530,33657.0,23.0,4,5,4,0,3,1,1,3,1.0,1.0,2.0,1.0,11.0,3.0
2531,33658.0,41.0,3,6,1,0,5,6,1,5,7.0,4.0,2.0,7.0,5.0,1.0
2532,33659.0,35.0,4,4,3,0,3,4,1,3,1.0,1.0,8.0,1.0,1.0,6.0
2533,33660.0,59.0,3,2,2,0,5,11,1,5,6.0,5.0,1.0,6.0,3.0,1.0
2534,33661.0,7.0,3,0,7,0,0,6,1,0,1.0,1.0,1.0,1.0,8.0,6.0
2535,33662.0,45.0,3,3,2,0,5,5,1,5,1.0,9.0,1.0,1.0,1.0,1.0
2536,33663.0,76.0,3,3,4,0,5,6,1,5,1.0,1.0,1.0,1.0,6.0,4.0
2538,33665.0,12.0,4,0,5,5,0,6,1,5,2.0,1.0,6.0,2.0,11.0,88.0
2539,33666.0,71.0,3,1,2,0,4,8,1,4,7.0,4.0,1.0,7.0,7.0,4.0
2540,33667.0,79.0,1,2,5,0,2,9,1,2,7.0,1.0,1.0,7.0,1.0,9.0
2541,33668.0,48.0,4,4,3,0,4,9,1,4,8.0,3.0,3.0,8.0,2.0,5.0
2542,33669.0,46.0,3,1,4,0,5,11,1,5,8.0,1.0,2.0,8.0,3.0,3.0
2543,33670.0,17.0,3,5,3,10,0,7,1,10,1.0,1.0,7.0,1.0,1.0,7.0
2545,33672.0,3.0,3,0,6,0,0,6,1,0,1.0,1.0,1.0,1.0,5.0,5.0
2548,33675.0,56.0,3,5,3,0,4,6,1,4,3.0,2.0,5.0,3.0,7.0,4.0
2552,33679.0,14.0,3,5,5,9,0,9,1,9,1.0,1.0,1.0,1.0,5.0,1.0
2553,33680.0,16.0,2,5,4,9,0,5,1,9,1.0,1.0,3.0,1.0,1.0,1.0
2555,33682.0,38.0,3,5,3,0,5,11,1,5,7.0,2.0,3.0,7.0,2.0,5.0
2557,33684.0,74.0,3,1,2,0,3,6,1,3,7.0,1.0,2.0,7.0,2.0,3.0
2559,33686.0,2.0,5,0,4,0,0,11,1,0,1.0,1.0,2.0,1.0,1.0,8.0
2560,33687.0,53.0,1,1,7,0,1,6,2,1,7.0,1.0,1.0,7.0,7.0,7.0
2561,33688.0,76.0,3,1,2,0,3,6,1,3,9.0,1.0,7.0,9.0,6.0,1.0
2562,33689.0,2.0,3,0,5,0,0,7,1,0,1.0,1.0,1.0,1.0,5.0,6.0
2563,33690.0,27.0,2,5,3,0,3,6,1,3,88.0,1.0,88.0,88.0,1.0,1.0
2564,33691.0,58.0,4,1,3,0,3,6,1,3,5.0,5.0,7.0,5.0,5.0,5.0
2565,33692.0,2.0,1,0,5,0,0,4,2,0,1.0,1.0,2.0,1.0,5.0,8.0
2566,33693.0,15.0,3,5,4,9,0,8,1,9,1.0,1.0,4.0,1.0,5.0,2.0
2567,33694.0,54.0,3,3,2,0,3,6,1,3,6.0,1.0,4.0,6.0,3.0,9.0
2568,33695.0,16.0,3,5,4,9,0,11,1,9,1.0,4.0,5.0,1.0,5.0,5.0
2569,33696.0,61.0,3,1,3,0,3,7,1,3,10.0,2.0,3.0,10.0,5.0,7.0
2570,33697.0,5.0,4,0,4,0,0,6,1,0,1.0,1.0,1.0,1.0,6.0,2.0
2571,33698.0,75.0,3,1,2,0,1,4,1,1,7.0,1.0,3.0,7.0,1.0,6.0
2572,33699.0,37.0,4,5,1,0,5,11,1,5,1.0,7.0,1.0,1.0,1.0,1.0
2573,33700.0,29.0,2,1,3,0,5,6,1,5,1.0,2.0,3.0,1.0,1.0,1.0
2574,33701.0,4.0,1,0,4,0,0,11,1,0,1.0,1.0,1.0,1.0,7.0,8.0
2575,33702.0,11.0,2,0,6,5,0,3,1,5,3.0,1.0,3.0,3.0,5.0,3.0
2576,33703.0,3.0,5,0,2,0,0,3,1,0,2.0,2.0,7.0,2.0,5.0,5.0
2581,33708.0,16.0,1,5,4,10,0,8,1,10,1.0,1.0,1.0,1.0,2.0,6.0
2584,33711.0,20.0,1,5,6,0,3,11,1,3,1.0,1.0,1.0,1.0,3.0,3.0
2585,33712.0,23.0,1,5,2,0,4,12,1,4,2.0,2.0,2.0,2.0,4.0,1.0
2590,33717.0,2.0,1,0,4,0,0,4,1,0,1.0,1.0,1.0,1.0,1.0,1.0
2593,33720.0,16.0,3,5,3,10,0,11,1,10,1.0,1.0,8.0,1.0,7.0,6.0
2594,33721.0,19.0,3,5,4,13,0,11,1,13,7.0,1.0,8.0,7.0,88.0,1.0
2595,33722.0,15.0,5,5,3,9,0,11,1,9,5.0,5.0,1.0,5.0,6.0,6.0
2599,33726.0,66.0,1,1,2,0,1,3,2,1,7.0,2.0,5.0,7.0,1.0,3.0
2600,33727.0,57.0,4,4,5,0,4,8,1,4,1.0,1.0,2.0,1.0,1.0,88.0
2602,33729.0,69.0,4,3,2,0,3,6,1,3,8.0,1.0,1.0,8.0,1.0,1.0
2603,33730.0,46.0,3,3,2,0,3,12,1,3,1.0,1.0,9.0,1.0,8.0,5.0
2604,33731.0,26.0,4,5,7,0,2,7,1,2,1.0,1.0,1.0,1.0,7.0,3.0
2607,33734.0,25.0,1,1,7,0,1,7,2,1,1.0,2.0,1.0,1.0,2.0,3.0
2608,33735.0,36.0,3,5,2,0,5,11,1,5,6.0,3.0,5.0,6.0,2.0,3.0
2609,33736.0,54.0,3,1,4,0,4,5,1,4,8.0,1.0,1.0,8.0,5.0,2.0
2614,33741.0,12.0,3,0,3,6,0,11,1,6,1.0,3.0,7.0,1.0,5.0,2.0
